id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4284,2026-09-04T00:00:00Z,Climate Change Act 2008 (Repeal) (No. 2) Bill,Title: Climate Change Act 2008 (Repeal) (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,10.47
3840,2026-04-30T00:00:00Z,Climate Finance Fund (Fossil Fuels and Pollution) Bill,Title: Climate Finance Fund (Fossil Fuels and Pollution) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.55,16.66
3918,2026-04-30T00:00:00Z,Community Energy (Review) Bill,Title: Community Energy (Review) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.4,18.58
195,2025-09-09T00:00:00Z,Climate Change Act 2008,Title: Climate Change Act 2008 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.65
3738,2025-06-03T00:00:00Z,Great British Energy Act 2025,Title: Great British Energy Act 2025 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,15.73
3682,2025-02-12T00:00:00Z,Social Energy Tariff (No. 2) Bill,Title: Social Energy Tariff (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,12.71
3504,2024-05-29T00:00:00Z,Offshore Petroleum Licensing Bill,Title: Offshore Petroleum Licensing Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.58
3597,2024-01-26T00:00:00Z,Social Energy Tariff Bill,Title: Social Energy Tariff Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,17.01
3311,2023-11-28T00:00:00Z,Energy Act 2023,Title: Energy Act 2023 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16
3447,2023-11-02T00:00:00Z,Local Electricity (No. 2) Bill,Title: Local Electricity (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.08
3231,2023-11-02T00:00:00Z,Minimum Energy Performance of Buildings Bill,Title: Minimum Energy Performance of Buildings Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,18.11
3496,2023-11-01T00:00:00Z,Electricity Supply (Vulnerable Customers) Bill,Title: Electricity Supply (Vulnerable Customers) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,20.89
3333,2023-11-01T00:00:00Z,Energy Costs (Domestic Customers and Small Business) Bill,Title: Energy Costs (Domestic Customers and Small Business) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,17.28
3351,2023-11-01T00:00:00Z,Energy Costs (Pre-payment Meters and Social Tariffs) Bill,Title: Energy Costs (Pre-payment Meters and Social Tariffs) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.4
3348,2023-11-01T00:00:00Z,Energy Equity Commission Bill,Title: Energy Equity Commission Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,18.58
3482,2023-11-01T00:00:00Z,Global Climate and Development Finance Bill,Title: Global Climate and Development Finance Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,17.42
3211,2023-10-31T00:00:00Z,Carbon Emissions (Buildings) Bill,Title: Carbon Emissions (Buildings) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.01
3460,2023-10-31T00:00:00Z,Climate and Ecology (No. 2) Bill,Title: Climate and Ecology (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,12.71
3405,2023-10-31T00:00:00Z,Climate Education Bill,Title: Climate Education Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.68
3287,2023-10-31T00:00:00Z,Decarbonisation and Economic Strategy Bill,Title: Decarbonisation and Economic Strategy Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,20.89
3399,2023-09-25T00:00:00Z,Renewable Liquid Heating Fuel Bill,Title: Renewable Liquid Heating Fuel Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.94
3194,2023-05-25T00:00:00Z,Electricity Transmission (Compensation) Act 2023,Title: Electricity Transmission (Compensation) Act 2023 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,20.15
1110,2023-03-23T00:00:00Z,Energy Act 2013,Title: Energy Act 2013 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16
3403,2023-03-22T00:00:00Z,Local Electricity Bill,Title: Local Electricity Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.53
1677,2022-12-20T00:00:00Z,Energy Act 2016,Title: Energy Act 2016 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16
3341,2022-10-28T00:00:00Z,Energy Prices Act 2022,Title: Energy Prices Act 2022 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.22
3306,2022-09-20T00:00:00Z,Energy (Oil and Gas) Profits Levy Act 2022,Title: Energy (Oil and Gas) Profits Levy Act 2022 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,15.42
3059,2022-05-05T00:00:00Z,Electricity Grid (Review) Bill,Title: Electricity Grid (Review) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.79
2935,2022-05-05T00:00:00Z,Energy Pricing Bill,Title: Energy Pricing Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.84
3036,2022-05-05T00:00:00Z,Minimum Energy Performance of Buildings (No. 2) Bill,Title: Minimum Energy Performance of Buildings (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,13.58
3108,2022-05-04T00:00:00Z,Energy Company Obligation (Cavity Wall Insulation) Bill,Title: Energy Company Obligation (Cavity Wall Insulation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.4,20.93
3040,2022-05-04T00:00:00Z,United Kingdom Atomic Energy Authority Pension Transfers (Parliamentary and Health Service Ombudsman Investigation) Bill Bill,Title: United Kingdom Atomic Energy Authority Pension Transfers (Parliamentary and Health Service Ombudsman Investigation) Bill Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,23.6
3118,2022-05-03T00:00:00Z,Energy Pricing (Off Gas Grid Households) Bill,Title: Energy Pricing (Off Gas Grid Households) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.69
2943,2022-04-29T00:00:00Z,Climate and Ecology Bill,Title: Climate and Ecology Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.01
2903,2022-04-29T00:00:00Z,Climate Change Bill,Title: Climate Change Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.16
3087,2022-04-29T00:00:00Z,Cold Climate Allowance Bill,Title: Cold Climate Allowance Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,16.22
3052,2022-04-29T00:00:00Z,Company Transparency (Carbon in Supply Chains) Bill,Title: Company Transparency (Carbon in Supply Chains) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.65
3034,2022-04-28T00:00:00Z,Minimum Energy Performance of Buildings Bill [HL],Title: Minimum Energy Performance of Buildings Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,17.65
3057,2022-04-05T00:00:00Z,Nuclear Energy (Financing) Act 2022,Title: Nuclear Energy (Financing) Act 2022 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.4,17.94
2528,2021-05-05T00:00:00Z,Domestic Premises (Energy Performance) Bill [HL],Title: Domestic Premises (Energy Performance) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,18.8
2644,2021-05-05T00:00:00Z,Net Zero Carbon Emissions (Audit) Bill,Title: Net Zero Carbon Emissions (Audit) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.72
2643,2021-05-04T00:00:00Z,Decarbonisation of Road Transport (Audit) Bill,Title: Decarbonisation of Road Transport (Audit) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.11
2764,2021-05-04T00:00:00Z,Domestic Properties (Minimum Energy Performance) Bill,Title: Domestic Properties (Minimum Energy Performance) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.95,20.19
2056,2019-10-09T00:00:00Z,Carbon Emission Reductions Bill [HL],Title: Carbon Emission Reductions Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.2
2449,2019-09-19T00:00:00Z,Low Carbon Domestic Heating Bill,Title: Low Carbon Domestic Heating Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,16.46
2427,2019-06-19T00:00:00Z,Domestic Energy Efficiency Plan Bill,Title: Domestic Energy Efficiency Plan Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.35,18.68
2421,2019-06-12T00:00:00Z,Climate Change (Emissions Targets) Bill,Title: Climate Change (Emissions Targets) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.4,16.46
2422,2019-06-12T00:00:00Z,United Kingdom Atomic Energy Authority Pension Transfers (Parliamentary and Health Service Ombudsman Investigation) Bill,Title: United Kingdom Atomic Energy Authority Pension Transfers (Parliamentary and Health Service Ombudsman Investigation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,23.9
2395,2019-05-01T00:00:00Z,Climate Change (Net Zero UK Carbon Account) Bill,Title: Climate Change (Net Zero UK Carbon Account) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.04
2379,2019-03-29T00:00:00Z,Domestic Properties (Minimum Energy Performance) (No.2) Bill,Title: Domestic Properties (Minimum Energy Performance) (No.2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.95,19.15
2359,2019-03-27T00:00:00Z,Northern Ireland (Regional Rates and Energy) Act 2019,Title: Northern Ireland (Regional Rates and Energy) Act 2019 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.28
2339,2019-03-22T00:00:00Z,Green Deal (Conduct of Home Energy and Lifestyle Management Ltd) Bill,Title: Green Deal (Conduct of Home Energy and Lifestyle Management Ltd) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.45,17.13
2294,2019-03-18T00:00:00Z,Energy Consumption (Innovative Technologies) Bill,Title: Energy Consumption (Innovative Technologies) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,20.89
2213,2018-09-07T00:00:00Z,Domestic Gas and Electricity (Tariff Cap) Act 2018,Title: Domestic Gas and Electricity (Tariff Cap) Act 2018 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,17.28
2159,2018-04-25T00:00:00Z,Carbon Monoxide (Detection and Safety) Bill,Title: Carbon Monoxide (Detection and Safety) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.85,17.42
2230,2018-03-29T00:00:00Z,Northern Ireland (Regional Rates and Energy) Act,Title: Northern Ireland (Regional Rates and Energy) Act | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.65
1829,2017-05-02T00:00:00Z,Energy Measures (Cost Effectiveness and Efficiency) Bill [HL],Title: Energy Measures (Cost Effectiveness and Efficiency) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.2,18.53
1871,2017-04-28T00:00:00Z,Carbon Monoxide Poisoning (Safety Abroad) Bill,Title: Carbon Monoxide Poisoning (Safety Abroad) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.1,18.11
1953,2017-03-08T00:00:00Z,Town and Country Planning (Electricity Generating Consent) Bill,Title: Town and Country Planning (Electricity Generating Consent) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.85,19.15
1656,2016-05-12T00:00:00Z,Department of Energy and Climate Change (Abolition) Bill,Title: Department of Energy and Climate Change (Abolition) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.9
1426,2015-03-30T00:00:00Z,Control of Offshore Wind Turbines Bill,Title: Control of Offshore Wind Turbines Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.33
1486,2015-03-30T00:00:00Z,Energy (Buildings and Reduction of Fuel Use) Bill,Title: Energy (Buildings and Reduction of Fuel Use) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.66
1421,2015-03-30T00:00:00Z,Household Safety (Carbon Monoxide Detectors) Bill,Title: Household Safety (Carbon Monoxide Detectors) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.2,18.11
1485,2015-03-30T00:00:00Z,Houses in Multiple Occupation (Energy Performance Certificates and Minimum Energy Efficiency Standards) Bill,Title: Houses in Multiple Occupation (Energy Performance Certificates and Minimum Energy Efficiency Standards) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.1,23.27
1320,2014-05-15T00:00:00Z,Decarbonisation Bill,Title: Decarbonisation Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,19.43
1327,2014-05-15T00:00:00Z,Energy Demand Reduction Bill,Title: Energy Demand Reduction Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,17.79
1359,2014-05-15T00:00:00Z,Energy in Buildings Bill,Title: Energy in Buildings Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.22
1051,2013-04-26T00:00:00Z,Energy Companies (Minimum Tariffs) Bill,Title: Energy Companies (Minimum Tariffs) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.68
1134,2013-04-26T00:00:00Z,Energy Efficiency (Houses in Multiple Occupation) Bill,Title: Energy Efficiency (Houses in Multiple Occupation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.7,20.27
1117,2013-04-26T00:00:00Z,Energy Efficiency and Reduction in Energy Costs Bill,Title: Energy Efficiency and Reduction in Energy Costs Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,18.53
1063,2013-04-26T00:00:00Z,Micro Businesses and Energy Contract Roll-Over Bill,Title: Micro Businesses and Energy Contract Roll-Over Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.28
1061,2013-04-26T00:00:00Z,Offshore Gambling Bill,Title: Offshore Gambling Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,16.84
881,2012-05-02T00:00:00Z,Electricity Transmission (Protection of Landscape) Bill,Title: Electricity Transmission (Protection of Landscape) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,19.5
966,2012-05-02T00:00:00Z,Energy Generation (Planning and Right to Invest) Bill,Title: Energy Generation (Planning and Right to Invest) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.25,17.28
956,2012-05-01T00:00:00Z,Offshore Gambling (Licensing) Bill,Title: Offshore Gambling (Licensing) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,17.79
805,2011-11-10T00:00:00Z,Energy Act 2011,Title: Energy Act 2011 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16
855,2011-11-09T00:00:00Z,Sustainable Energy (Local Plans) Bill,Title: Sustainable Energy (Local Plans) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,17.94
533,2010-08-16T00:00:00Z,Energy Act 2010,Title: Energy Act 2010 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16
597,2010-04-13T00:00:00Z,Sustainable Energy (Local Action) Bill,Title: Sustainable Energy (Local Action) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.05,18.68
610,2010-04-12T00:00:00Z,Climate Change (Sectoral Targets) Bill,Title: Climate Change (Sectoral Targets) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.4,16.46
556,2010-04-09T00:00:00Z,Consumer Emissions (Climate Change) Bill [HL],Title: Consumer Emissions (Climate Change) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.72
622,2010-04-08T00:00:00Z,Hydrofluorocarbons Limitation Bill,Title: Hydrofluorocarbons Limitation Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,21.06
405,2009-11-20T00:00:00Z,Green Energy (Definition and Promotion),Title: Green Energy (Definition and Promotion) | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,18.68
415,2009-11-04T00:00:00Z,Industrial Carbon Emissions (Targets) Bill,Title: Industrial Carbon Emissions (Targets) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.4,18.68
451,2009-11-03T00:00:00Z,Renewable Content Obligation Bill,Title: Renewable Content Obligation Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.4,19.37
473,2009-10-23T00:00:00Z,Cheapest Energy Tariff (Information) Bill,Title: Cheapest Energy Tariff (Information) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.95,18.68
518,2009-10-23T00:00:00Z,Equalisation of Tariffs for Gas and Electricity Bill,Title: Equalisation of Tariffs for Gas and Electricity Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.53
515,2009-10-23T00:00:00Z,Public Buildings (Publication of Energy Performance Certificates) Bill,Title: Public Buildings (Publication of Energy Performance Certificates) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,20.39
494,2009-10-20T00:00:00Z,Motor Vehicle (Climate change information) Bill,Title: Motor Vehicle (Climate change information) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,18.11
259,2009-03-12T00:00:00Z,Energy Act 2008,Title: Energy Act 2008 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16
222,2009-02-25T00:00:00Z,Planning and Energy Act 2008,Title: Planning and Energy Act 2008 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,15.73
337,2008-10-30T00:00:00Z,Microgeneration and Local Energy Bill,Title: Microgeneration and Local Energy Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,19.41
240,2008-10-30T00:00:00Z,Public Sector Buildings (Energy Performance) Bill,Title: Public Sector Buildings (Energy Performance) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,18.11
304,2008-07-18T00:00:00Z,Offshore Oil and Gas Industries (Health and Safety) Bill,Title: Offshore Oil and Gas Industries (Health and Safety) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,15.22
232,2008-03-17T00:00:00Z,Energy Saving (Daylight) Bill,Title: Energy Saving (Daylight) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,17.01
50,2007-10-27T00:00:00Z,Climate Change (Effects) Bill,Title: Climate Change (Effects) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.43
58,2007-10-26T00:00:00Z,Local Planning Authorities (Energy and Energy Efficiency) Bill,Title: Local Planning Authorities (Energy and Energy Efficiency) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.85,20.39
87,2007-10-24T00:00:00Z,Energy Markets (Carbon Reduction and Warm Homes) Bill,Title: Energy Markets (Carbon Reduction and Warm Homes) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.4,16.66
35,2007-10-13T00:00:00Z,Development Orders (Microgeneration) (formerly Energy Efficiency and Microgeneration) Bill [HL],Title: Development Orders (Microgeneration) (formerly Energy Efficiency and Microgeneration) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,24.63
